f_timestamp,f_id,cluster_data,f_u_id
2023-03-24 21:00:08.454,3762,"[[8.129694, 7.722419, 'cam_145']]",0
2023-03-24 21:00:08.528,3168,"[[2.5224276, 13.385931, 'cam_151'], [3.4045076, 13.27409, 'cam_151']]",0
2023-03-24 21:00:08.609,8554,"[[8.153567, 7.652011, 'cam_145']]",0
2023-03-24 21:00:08.609,6250,"[[-56.634014, 85.20657, 'cam_145']]",0
2023-03-24 21:00:08.681,8919,"[[-62.49825, 92.51916, 'cam_145']]",0
2023-03-24 21:00:08.681,6550,"[[8.114126, 7.6603804, 'cam_145']]",0
2023-03-24 21:00:08.743,4697,"[[8.095982, 7.6631713, 'cam_145']]",0
2023-03-24 21:00:08.743,7770,"[[-63.06683, 93.19204, 'cam_145']]",0
2023-03-24 21:00:08.855,3458,"[[7.4791665, 10.233933, 'cam_142']]",0
2023-03-24 21:00:08.855,7269,"[[2.552642, 11.253204, 'cam_142']]",0
2023-03-24 21:00:08.916,4759,"[[2.3814528, 19.15368, 'cam_149']]",0
2023-03-24 21:00:08.916,5754,"[[3.478812, 14.082379, 'cam_149']]",0
2023-03-24 21:00:08.916,9114,"[[3.4578462, 6.781509, 'cam_149']]",0
2023-03-24 21:00:09.000,2731,"[[-65.22081, 96.06511, 'cam_145']]",0
2023-03-24 21:00:09.000,6269,"[[8.061588, 7.627641, 'cam_145']]",0
2023-03-24 21:00:09.082,5522,"[[-66.920296, 98.25258, 'cam_145']]",0
2023-03-24 21:00:09.082,5616,"[[8.049871, 7.6006007, 'cam_145']]",0
2023-03-24 21:00:09.150,4858,"[[7.987043, 7.568655, 'cam_145']]",0
2023-03-24 21:00:09.150,1086,"[[-100.50281, 139.48595, 'cam_145']]",0
2023-03-24 21:00:09.179,6828,"[[7.5647607, 10.199766, 'cam_142']]",0
2023-03-24 21:00:09.179,3244,"[[2.513052, 11.26006, 'cam_142']]",0
2023-03-24 21:00:09.269,1638,"[[-94.72412, 132.58324, 'cam_145']]",0
2023-03-24 21:00:09.269,8203,"[[7.8595514, 7.6023846, 'cam_145']]",0
2023-03-24 21:00:09.343,8532,"[[3.420667, 13.273289, 'cam_151'], [2.5595, 13.336488, 'cam_151']]",0
2023-03-24 21:00:09.437,8944,"[[2.319075, 18.843363, 'cam_149']]",0
2023-03-24 21:00:09.437,9469,"[[3.403764, 14.202405, 'cam_149']]",0
